Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size
0,Indian Paintbrush,0,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'orange', 'red', 'purple', 'yellow'}",{'spring'},FALSE,"[1, 2]","[1, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
1,Texas Bluebonnet,0,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
2,Goldenball Leadtree,0,Leucaena retusa,"['sun', 'partial sun']",10,Goldenball Leadtree is an underutilized Texas native small single or multi-stem tree. Used in West and South Texas as a small patio or courtyard tree. It casts a filtered shade and has outstanding bright yellow flowers spring to fall; largest flushes after rain events.,{'yellow'},"{'fall', 'spring', 'summer'}",FALSE,"[15, 25]","[15, 25]","Soil pH adaptable, prefers good drainage, very drought tolerant, can withstand reflected heat. Branches tend to be brittle in high winds or under snow or ice loads.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucaena.jpg,['tree'],"['small', 'large']"
3,"Texas Sage, Cenizo, or Texas Ranger",0,Leucophyllum frutescens,['sun'],10,"Texas Sage is perhaps the most widely planted of the native Trans Pecos plants in landscapes outside that region. Valued for its outstanding gray-green to siver-gray foliage and purple-pink flowers, it is suprisingly adapted to useage in much of the southern two thirds of Texas. A good semi-evergreen shrub with summer interest. Benefits from occasional pruning to enhance canopy density.","{'white', 'pink'}","{'fall', 'spring', 'summer'}",FALSE,"[4, 10]","[4, 6]","Tolerates most soils as long as they are well drained. Frequently killed by kindness (over irrigation). Not particularly well adapted to humid regions, best in drier atmospheric regions. Tends to become leggy with age.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophy.jpg,['shrub'],"['medium', 'large']"
5,Violet Silverleaf,0,Leucophyllum candidum,['sun'],10,"Violet Silverleaf is very similar to Leucophyllum frutescens, but is perhaps even more attractive. The silver-gray to silver-white foliage is striking and is the perfect foil for the violet flowers that follow rain events. Smaller and denser plant than L. frutescens.",{'violet'},"{'fall', 'spring', 'summer'}",FALSE,"[2, 4]","[2, 4]","Requires absolutely good drainage. Super shrub for West Texas, dislikes humidity of East Texas.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophyllumcandidum.jpg,['shrub'],"['small', 'medium']"
437,Dusty Miller,1,Senecio cineraria,"['sun', 'partial sun']",10,"Dusty Miller is a subtropical perennial or woody subshrub more commonly used as a summer annual. The primary asset is silver-gray to silver-white highly lobed foliage. The small yellow flowers produced in the second year are mildly attractive, but signal the opening up of the plant and the end of its useful life as a compact bedding plant. Dusty Miller foliage contrasts well with dark green foliage plants or those with yellow or red flowers.",{'yellow'},{'spring'},FALSE,"[3, 12]","[0.6666666666666666, 1.0]","Typically planted as a spring or summer annual; overwinters in southern half to two-thirds of Texas and is removed after flowering in the second spring, effectively a biennial usage.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/senecioc.jpg,"['perennial', 'shrub', 'annual', 'tropical']",['small']
438,"Daffodils, Jonquils, Paperwhites, or Narcissus",1,Narcissus spp.,['sun'],10,The genus Narcissus encompasses dozens of species and hundreds if not thousands of cultivars. One or more cultivars are adapted to almost every region of the state. Flower stalks arise from tufts of linear roundish leaves. Flowers vary from single peony-like to trumpet-shapes subtended by a ring of petals. Others are borne as several flowers on the same stalk as in Paperwhite Narcissus.,"{'red', 'pink', 'yellow', 'orange', 'white'}","{'spring', 'winter'}",FALSE,"[1.0, 1.5]","[0.5, 0.8333333333333334]",Foliage dies down in summer; check with your local extension agent or professional nursery personnel to determine the best cultivars for your region.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/narcissu.jpg,"['perennial', 'annual']","['small', 'medium']"
439,Indian Paintbrush,1,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'red', 'yellow', 'orange'}",{'spring'},FALSE,"[1, 2]","[1.0, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
440,Texas Bluebonnet,1,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
441,Larkspur,1,Consolida ambigua,"['sun', 'partial sun']",10,"Larkspur is a cool season annual that was popular in the past for spring color; blue, purple-blue, white, and pink. Sometimes included in wildflower mixes, or used as a cut flower. Tends to reseed producing a moving stand of spring color in the spring border. Seedlings begin germinating in the fall in the southern two-thirds of the state.","{'blue', 'white', 'pink'}",{'spring'},FALSE,"[2, 5]","[1, 2]","Tolerant of most well drained sites, tends to migrate in the garden to sunnier locations over time. Old fashioned singles reseed more reliably than doubles or ""perennial lines"".",2,0,0,2,0,http://ekps.tamu.edu//images/plants/consolidaambigua.jpg,['annual'],"['small', 'medium']"
